EnsemblID,Set,scoreMethod,Score,MHC1OR2,Process_classification,Gene_name_kegg,Ensembl_name,KO_definition/Ensembl_definition,Link,Neefjes_accession,Subdivision types,Location of action,outlierDivided
ENSG00000283104,NS,totalScore_Union_Fit_HighConf,-1.1470542390064358,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000072849,NS,totalScore_Union_Fit_HighConf,-1.1530671532450825,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000073849,NS,totalScore_Union_Fit_HighConf,-1.1859715561714665,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000104835,NS,totalScore_Union_Fit_HighConf,-1.1878525826599127,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000112149,NS,totalScore_Union_Fit_HighConf,-1.2385890062452392,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000155744,NS,totalScore_Union_Fit_HighConf,-1.2958998927842797,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000011590,NS,totalScore_Union_Fit_HighConf,-1.322936764754104,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000198286,NS,totalScore_Union_Fit_HighConf,-1.3234078776774236,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000153064,NS,totalScore_Union_Fit_HighConf,-1.3433989072679058,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000176014,NS,totalScore_Union_Fit_HighConf,-1.3467327825158382,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000177105,NS,totalScore_Union_Fit_HighConf,-1.3476080737955183,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000110852,NS,totalScore_Union_Fit_HighConf,-1.3575502100838408,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000117632,NS,totalScore_Union_Fit_HighConf,-1.359949354594642,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000095585,NS,totalScore_Union_Fit_HighConf,-1.3601593724457421,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000101017,NS,totalScore_Union_Fit_HighConf,-1.361306660522617,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000180370,NS,totalScore_Union_Fit_HighConf,-1.361997245642172,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000077420,NS,totalScore_Union_Fit_HighConf,-1.3959566397733765,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000118855,NS,totalScore_Union_Fit_HighConf,-1.4161835423207823,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000076662,NS,totalScore_Union_Fit_HighConf,-1.4353792348077041,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000026025,NS,totalScore_Union_Fit_HighConf,-1.4371031020383356,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000148773,NS,totalScore_Union_Fit_HighConf,-1.4371031020383356,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000134001,NS,totalScore_Union_Fit_HighConf,-1.4673085562326618,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000076928,NS,totalScore_Union_Fit_HighConf,-1.4789418600939408,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000148154,NS,totalScore_Union_Fit_HighConf,-1.4854219578690593,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
