plate,position,well,Z-score R1: normalized_r1_ch1,Z-score R2: normalized_r2_ch1,Z-score R3: normalized_r3_ch1,GeneID,GeneSymbol,Median,Significance,Antibody
11,52,E04,-0.364,-0.26,-0.151,NM_145176,SLC2A12,-0.26,0,L243
2,86,H02,-0.039,-0.488,-0.146,wt,wt,-0.146,0,L243
9,2,A02,-1.337,-0.611,-0.139,wt,wt,-0.611,0,L243
9,16,B04,0.106,0.386,-0.139,siControl,siControl,0.106,0,L243
2,81,G09,-0.499,-0.292,-0.137,siControl,siControl,-0.292,0,L243
8,15,B03,-1.203,-0.243,-0.135,NM_198495,CTAGE4,-0.243,0,L243
9,86,H02,-0.477,0.045,-0.129,wt,wt,-0.129,0,L243
8,73,G01,-0.765,0.346,-0.125,siDM,siDM,-0.125,0,L243
4,3,A03,0.336,0.647,-0.124,siControl,siControl,0.336,0,L243
4,24,B12,-0.044,0,-0.115,siControl,siControl,-0.044,0,L243
6,73,G01,-0.865,0.197,-0.108,siDM,siDM,-0.108,0,L243
11,16,B04,0.054,0.047,-0.1,siControl,siControl,0.047,0,L243
11,86,H02,-0.865,0.637,-0.1,wt,wt,-0.1,0,L243
9,80,G08,-0.769,0.386,-0.099,NM_004729,ZBED1,-0.099,0,L243
10,30,C06,-0.586,-1.383,-0.097,XM_063084,LOC122335,-0.586,0,L243
2,3,A03,-0.032,0.646,-0.095,siControl,siControl,-0.032,0,L243
11,74,G02,-0.634,-0.195,-0.09,wt,wt,-0.195,0,L243
5,86,H02,-0.428,NA,-0.089,wt,wt,-0.2585,0,L243
8,29,C05,0.136,-0.016,-0.084,siControl,siControl,-0.016,0,L243
11,61,F01,-1.182,-0.358,-0.08,siDM,siDM,-0.358,0,L243
5,16,B04,0.102,-0.096,-0.079,siControl,siControl,-0.079,0,L243
1,44,D08,-0.072,0.672,-0.074,NM_182538,MGC29671,-0.072,0,L243
10,42,D06,-0.19,0.159,-0.068,siControl,siControl,-0.068,0,L243
3,23,B11,-0.352,-0.236,-0.066,NM_004056,CA8,-0.236,0,L243
2,33,C09,-0.407,-0.013,-0.062,NM_022749,RAI16,-0.062,0,L243
6,78,G06,-1.116,-0.446,-0.059,XM_371844,TSPYL1,-0.446,0,L243
10,29,C05,0.161,-0.09,-0.058,siControl,siControl,-0.058,0,L243
10,10,A10,0.175,0.436,-0.058,NM_152552,SAMD3,0.175,0,L243
8,2,A02,-0.544,-0.377,-0.054,wt,wt,-0.377,0,L243
2,66,F06,-0.84,-0.138,-0.054,NM_020871,LRCH2,-0.138,0,L243
8,62,F02,-0.418,0.131,-0.054,wt,wt,-0.054,0,L243
6,38,D02,-0.942,-0.468,-0.047,wt,wt,-0.468,0,L243
12,68,F08,0.612,-0.26,-0.045,siControl,siControl,-0.045,0,L243
9,42,D06,-0.031,-0.121,-0.04,siControl,siControl,-0.04,0,L243
9,29,C05,-0.429,0.249,-0.04,siControl,siControl,-0.04,0,L243
1,29,C05,0.305,-0.209,-0.033,siControl,siControl,-0.033,0,L243
1,65,F05,0.409,0.828,-0.033,NM_013387,HSPC051,0.409,0,L243
9,78,G06,-0.812,0.078,-0.03,NM_004727,SLC24A1,-0.03,0,L243
2,42,D06,0.032,-0.603,-0.029,siControl,siControl,-0.029,0,L243
10,87,H03,-0.411,0.737,-0.029,NM_152292,RG9MTD2,-0.029,0,L243
8,88,H04,-0.313,-1.324,-0.024,NM_178470,WDR40B,-0.313,0,L243
1,62,F02,-1.419,-0.013,-0.024,wt,wt,-0.024,0,L243
6,45,D09,-1.196,-0.392,-0.022,NM_152519,FLJ23861,-0.392,0,L243
7,55,E07,-0.359,0.018,-0.015,siControl,siControl,-0.015,0,L243
4,55,E07,-0.092,NA,-0.014,siControl,siControl,-0.053,0,L243
12,38,D02,-0.888,-0.47,-0.011,wt,wt,-0.47,0,L243
