plate,position,well,Z-score R1: normalized_r1_ch1,Z-score R2: normalized_r2_ch1,Z-score R3: normalized_r3_ch1,GeneID,GeneSymbol,Median,Significance,Antibody
7,35,C11,-0.053,0.95,1.087,XM_380138,LOC402586,0.95,0,CLIP
3,93,H09,-0.617,-2.043,NA,NM_024031,MGC3121,-1.33,0,CLIP
2,86,H02,-0.015,-1.644,NA,wt,wt,-0.8295,0,CLIP
1,87,H03,-0.028,-1.408,NA,NM_173695,FLJ36601,-0.718,0,CLIP
1,35,C11,-0.586,-1.122,NA,NM_181842,ZBTB12,-0.854,0,CLIP
2,26,C02,-1.842,-0.775,NA,wt,wt,-1.3085,0,CLIP
5,79,G07,-1.36,-0.683,NA,NM_005301,GPR35,-1.0215,0,CLIP
5,38,D02,-0.737,-0.683,NA,wt,wt,-0.71,0,CLIP
4,96,H12,NA,-0.648,NA,XM_375261,LOC400452,-0.648,0,CLIP
4,14,B02,-0.462,-0.577,NA,wt,wt,-0.5195,0,CLIP
1,22,B10,0.495,-0.411,NA,NM_017777,FLJ20345,0.042,0,CLIP
7,87,H03,0.435,-0.035,NA,XM_372919,LOC391356,0.2,0,CLIP
10,70,F10,-0.354,-0.018,NA,NM_032639,FAPP2,-0.186,0,CLIP
12,80,G08,-1.032,0.11,NA,wt,wt,-0.461,0,CLIP
7,41,D05,0.124,0.272,NA,XM_379513,LOC401396,0.198,0,CLIP
4,12,A12,NA,0.511,NA,NM_198481,UNQ3033,0.511,0,CLIP
12,19,B07,NA,0.607,NA,NM_173687,FLJ37131,0.607,0,CLIP
5,6,A06,0.764,0.635,NA,NM_003669,INE1,0.6995,0,CLIP
9,44,D08,0.356,0.666,NA,XM_376094,LOC90499,0.511,0,CLIP
8,79,G07,0.539,0.704,NA,XM_374987,LOC400055,0.6215,0,CLIP
6,10,A10,NA,0.789,NA,NM_030931,DEFB126,0.789,0,CLIP
8,39,D03,0.669,0.856,NA,XM_374095,LOC389242,0.7625,0,CLIP
12,8,A08,NA,0.88,NA,NM_017521,FEV,0.88,0,CLIP
9,4,A04,NA,0.926,NA,NM_025205,EG1,0.926,0,CLIP
6,12,A12,NA,0.962,NA,NM_030981,RAB1B,0.962,0,CLIP
4,43,D07,NA,0.966,NA,XM_370723,LOC387922,0.966,0,CLIP
10,67,F07,0.128,1,NA,NM_033315,RASL10B,0.564,0,CLIP
9,27,C03,0.389,NA,NA,NM_130807,MOBKL2A,0.389,0,CLIP
8,27,C03,0.637,NA,NA,XM_061930,LOC120237,0.637,0,CLIP
8,30,C06,0.701,NA,NA,XM_373885,LOC388735,0.701,0,CLIP
2,7,A07,NA,NA,NA,NM_024540,MRPL24,#VALUE!,#VALUE!,CLIP
5,8,A08,NA,NA,NA,NM_003823,TNFRSF6B,#VALUE!,#VALUE!,CLIP
5,28,C04,NA,NA,NA,NM_002694,POLR2C,#VALUE!,#VALUE!,CLIP
5,32,C08,NA,NA,NA,NM_001095,ACCN2,#VALUE!,#VALUE!,CLIP
6,51,E03,NA,NA,NA,NM_033128,SCIN,#VALUE!,#VALUE!,CLIP
6,79,G07,NA,NA,NA,NM_020127,TUFT1,#VALUE!,#VALUE!,CLIP
7,21,B09,NA,NA,NA,XM_016113,LOC158104,#VALUE!,#VALUE!,CLIP
7,23,B11,NA,NA,NA,XM_294692,LOC338749,#VALUE!,#VALUE!,CLIP
9,12,A12,NA,NA,NA,NM_031211,LAT1-3TM,#VALUE!,#VALUE!,CLIP
9,23,B11,NA,NA,NA,NM_133492,ASAH3,#VALUE!,#VALUE!,CLIP
12,28,C04,NA,NA,NA,NM_003562,SLC25A11,#VALUE!,#VALUE!,CLIP
