Accession #,L243-Cy3,# duplex,CLIP-Cy5,# duplex,Localization,Function
NM_004237,L243 up,2,CLIP up,2,cytoplasm,transcriptionregulator
NM_145170,L243 up,3,CLIP up,3,unknown,other
NM_004247,L243 up,2,CLIP up,2,nucleus,enzyme
NM_014683,L243 up,2,CLIP up,3,cytoplasm,kinase
NM_012474,L243 up,2,CLIP up,3,unknown,unknown
NM_152586,L243 up,2,CLIP up,2,unknown,peptidase
NM_016208,L243 up,2,CLIP up,2,cytoplasm,transporter
NM_006296,L243 up,2,CLIP up,2,nucleus,kinase
NM_022834,L243 up,2,CLIP up,3,extracellularSpace,other
NM_020657,L243 up,2,CLIP up,2,nucleus,other
