Gene,Adult cDC2 ,Adult CD14 DC,Adult cDC1,Fetal cDC2,Fetal CD14 DC,Fetal cDC1
LOC643894,7.1618447182,7.0894718417,7.1873137444,7.4262054069,7.4115543753,7.462661555
LOC643911,6.7671687346,6.7504646163,6.7014268777,6.8279095814,6.797992194,6.8465453594
LOC643981,7.003320723,7.0121306069,6.9757094946,6.8964394085,6.8633693069,6.8854367411
LOC643986,7.1316953029,7.0797936219,7.2603913233,7.3594159799,7.352871386,7.553160867
LOC643997,7.1561504627,7.073931063,7.2701498224,7.011334858,6.9969707867,6.9131421243
LOC644012,6.9050967669,6.9616738693,6.8445904028,7.0793113116,7.0898887041,7.0920844286
LOC644029,13.7486839369,13.5517975119,13.9387312185,14.2565688808,13.9888563539,14.067355332
LOC644068,7.0384266627,6.9745702126,6.9724142213,6.9036313487,6.8573850841,6.9384456436
LOC644093,7.1485516809,7.1635272902,7.182856648,6.9084894492,7.0471701784,7.0430749645
LOC644105,6.762427006,6.7155253494,6.7088286178,7.0644352568,6.9525069885,6.8250192107
LOC644116,6.9214316978,6.8752473555,6.8991896177,7.0889323646,7.1440156535,7.1149854796
LOC644162,7.7842587927,7.6204503144,7.668332507,8.2022413127,7.9287587883,8.0018593717
LOC644172,7.4422361445,7.2568948232,7.3631180489,7.119709654,7.212010942,7.0606928553
LOC644207,6.9441468855,6.8861495325,6.9631102735,7.0061265301,7.0773165271,7.1494484882
LOC644246,7.1924072028,7.2502741802,7.2578528174,7.1320426042,6.9900622871,7.1019095508
LOC644251,6.7703832022,6.7305879268,6.7437344964,6.9611023289,6.8852011669,6.9309240734
LOC644256,6.8918914851,6.830323423,6.8339000405,7.164435974,7.1693378695,7.0375826223
LOC644265,7.1700575099,7.2857843725,7.4218228432,7.5835515002,7.5371434381,7.6047274643
LOC644330,7.0785887027,7.0411552867,7.371280865,7.6071854152,7.389237069,7.4865096091
LOC644379,6.6648102373,6.5216130343,6.6737607282,6.8260531317,6.7485099182,6.7655160076
LOC644419,6.8829339548,6.8781923226,6.9342774953,7.0868761174,7.1781043478,7.0708363607
LOC644447,7.0478088267,7.0656831314,7.015472454,6.9075803052,6.7867866479,6.9847079652
LOC644464,13.3564719745,12.9035624689,13.9269484696,14.3047740454,13.5726529074,14.0153296219
LOC644466,7.0703724418,7.01869494,7.1091473545,6.9758818843,6.8231357686,6.957839093
LOC644491,7.0671888887,7.0821160235,7.0302099826,7.1778845513,7.2343183482,7.236371336
LOC644500,7.4156297743,7.3390948635,7.3513354516,7.1454026383,7.2240055768,7.0885422386
LOC644548,6.9090774294,6.8920285624,6.8585850665,7.0227725066,7.0592406198,7.0616200131
LOC644563,7.1546874088,7.1483217403,7.0430694174,6.866021873,7.0039447506,6.9072790255
LOC644590,9.1400344592,8.1850292569,9.2605367878,8.3186816033,8.2271969349,8.1137718513
LOC644591,7.4431628664,7.5304179219,7.3430244392,7.8802908795,7.8845995485,7.6584236012
LOC644593,6.9214802099,6.9474268015,6.8939468866,7.1494815383,6.9809133036,7.0794723707
LOC644599,7.4168250899,7.3624017653,7.3852194313,7.1572915562,7.1708255356,7.3188544412
LOC644634,7.0796402642,7.0474519135,7.072517108,7.4329446955,7.4833270801,7.3609174144
LOC644641,6.9417156477,6.9971631948,7.0001585114,7.2395717215,7.1720534297,7.0618872478
LOC644670,7.0445935847,7.0573784075,7.0279926557,7.2793477322,7.3341767145,7.4620856476
LOC644679,6.7768973229,6.9073195368,6.9081086924,7.1132986904,7.2579947302,7.1173533933
LOC644683,7.0682088584,6.9035311337,7.1433181622,7.1828089789,7.3636666475,7.349153979
LOC644694,7.4389996894,7.4517226394,7.5250541549,7.2693236637,7.2563559345,7.2592834114
LOC644745,9.7577765105,10.2379823575,10.5151835004,11.9503339383,11.6829156207,12.4835058142
