GeneSymbol,MedianCLIP,MedianL243,selectedMedian
STX11,-0.04300000000000001,-0.6859999999999999,0.6859999999999999
STX12,0.05450000000000001,-1.558,1.558
STX16,0.2545,-0.4565,0.4565
STX17,0.0545,0.393,0.393
STX18,-0.126,1.7365,1.7365
STX1B2,0.561,0.066,0.561
STX3A,-0.322,-0.3095,0.322
STX4A,-0.21199999999999997,0.0955,0.21199999999999997
STX5A,0.1825,-0.669,0.669
STX6,0.26149999999999995,1.9775,1.9775
STX7,0.22949999999999998,-0.1435,0.22949999999999998
STX8,-0.6485,1.983,1.983
STXBP1,-0.322,0.3505,0.3505
STXBP2,1.1800000000000002,1.7865,1.7865
STXBP3,-0.989,0.6805,0.989
STXBP4,-1.5,-1.3955000000000002,1.5
STXBP5,-0.937,-0.753,0.937
STXBP5L,0.974,2.233,2.233
STXBP6,0.5035000000000001,1.264,1.264
SUCLA2,-0.20750000000000002,-0.5495,0.5495
SUCLG1,0.5785,2.1950000000000003,2.1950000000000003
SUCLG2,-1.376,0.454,1.376
SUGT1,0.12849999999999998,2.364,2.364
SUHW1,-1.053,0.216,1.053
SUHW2,0.782,0.475,0.782
SUHW3,0.884,2.259,2.259
SUHW4,-0.0050000000000000044,0.28,0.28
SUI1,-1.3704999999999998,-0.5495,1.3704999999999998
SULF1,-0.3245,-1.2045,1.2045
SULT1A2,-0.528,-0.576,0.576
SULT1A3,0.24149999999999996,0.13649999999999998,0.24149999999999996
SULT1C1,0.694,2.042,2.042
SULT1C2,0.15949999999999998,-0.9934999999999999,0.9934999999999999
SULT2B1,-0.098,1.4415,1.4415
SULT4A1,-0.5635,-0.7075,0.7075
SUMF1,-0.47,-0.479,0.479
SUMF2,0.2335,-0.39749999999999996,0.39749999999999996
SUMO2,-1.8079999999999998,-0.5305,1.8079999999999998
SUMO3,-0.147,-1.2295,1.2295
SUMO4,-0.458,-1.28,1.28
SUPT16H,-1.167,-0.46649999999999997,1.167
SUPV3L1,0.145,1.299,1.299
SURF2,-0.5755,0.619,0.619
SURF4,-2.1159999999999997,0.5935,2.1159999999999997
SURF5,-0.22300000000000003,-0.2385,0.2385
SURF6,-0.784,-0.6845000000000001,0.784
SUSD1,-0.372,-0.122,0.372
SUSD2,-0.449,0.788,0.788
SUSD3,0.544,0.032,0.544
SUV420H1,1.3014999999999999,1.295,1.3014999999999999
SV2A,0.217,-1.2985,1.2985
SV2B,-0.197,0.2145,0.2145
SV2C,0.375,0.763,0.763
SVH,0.077,-0.825,0.825
SWAP70,-0.169,0.26,0.26
SYAP1,-0.402,-0.091,0.402
SYBL1,0.454,-0.44599999999999995,0.454
SYCN,0.1645,1.322,1.322
SYCP1,-0.33,-1.7349999999999999,1.7349999999999999
SYCP2,0.009500000000000008,0.058500000000000024,0.058500000000000024
SYCP3,1.396,-0.049,1.396
SYN2,-0.9355,0.5955,0.9355
SYN3,1.0114999999999998,0.21300000000000002,1.0114999999999998
SYNCOILIN,0.646,0.806,0.806
SYNE1,-2.6585,0.7055,2.6585
SYNE2,-0.227,-1.131,1.131
SYNGAP1,-1.002,-0.993,1.002
SYNGR1,-0.063,1.362,1.362
SYNGR2,-0.4695,-0.911,0.911
SYNGR3,-0.4155,0.1005,0.4155
SYNGR4,-0.61,0.8029999999999999,0.8029999999999999
SYNJ2BP,1.652,2.028,2.028
